artwork_id,color_pallete,palette_count
5,#d3c5bf,6477
5,#cbb3a1,4954
5,#c6a186,4570
5,#b79983,5773
5,#a77757,3788
5,#e4d8d5,3967
5,#dbcecb,6007
5,#ad886e,7033
5,#906e56,6319
5,#865232,4707
5,#6e4a33,5162
5,#4d2210,6779
11,#f6e5b7,5914
11,#f1dbb1,4934
11,#efd9aa,5057
11,#eed9b1,4528
11,#ecd5aa,5108
11,#d0bb8c,4887
11,#f3deb5,4239
11,#a48d3f,8362
11,#f4e0b4,4991
11,#f3deaf,3983
11,#e9d0a5,5809
11,#7c442b,7724
19,#aa8770,3827
19,#9d8373,5425
19,#977564,5189
19,#7a5346,7714
19,#d0b095,2770
19,#b0927c,5608
19,#a07862,3370
19,#8e7062,5761
19,#8c6452,5032
19,#7f6055,5987
19,#64443c,7559
19,#2a1014,7294
26,#dfdbca,4376
26,#ddd9c8,4870
26,#dad5c5,4155
26,#e2decd,5080
26,#e0dccb,7935
26,#dddac9,5087
26,#dbd8c7,6549
26,#d7d4c4,5784
26,#d2cebf,6086
26,#bebaad,3969
26,#9a968c,4232
26,#6f6a62,7413
29,#f5e1ae,5976
29,#f2dda2,4661
29,#e7d3a2,6943
29,#e4cb99,6819
29,#e1bf78,3969
29,#ccd1a7,5018
29,#968150,4970
29,#edd49d,3464
29,#dbac59,5918
29,#bb8e45,6337
29,#b9ae69,5320
29,#70582f,6141
33,#c5a574,3235
33,#9b5b2a,3820
33,#62513e,4155
33,#3e3126,5594
33,#221b18,7251
33,#ac7843,5074
33,#593620,3418
33,#2d1c14,3846
33,#2c2822,6851
33,#1d1815,6728
33,#141413,7655
33,#0c0a09,7909
41,#b6b9a9,3856
41,#9cb5b5,4003
41,#867f35,3414
41,#7b9da6,6147
41,#7a6f28,6364
41,#6b999f,7657
41,#c0cac1,4619
41,#969e91,2540
41,#8baaac,4725
41,#67662b,6283
41,#453a17,7019
41,#251609,8909
42,#f5e3c3,5116
42,#eed9b5,5121
42,#e7d3b2,6340
42,#dccdb1,3789
42,#d7c3a3,7660
42,#d3bb98,4452
42,#733d15,7803
42,#f3e0bc,5928
42,#dfcaa6,6104
42,#c0b290,3893
42,#b58c43,5162
42,#9e6e35,4168
54,#cba98f,7768
54,#865747,5848
54,#5f271a,4449
54,#3c0f0a,6971
54,#2a1516,3165
54,#a5785f,7420
54,#7e4635,4569
54,#663c30,6740
54,#4c1e16,4378
54,#401a15,3980
54,#290c0d,4798
54,#1f0607,5450
61,#dfc7b0,4078
61,#caa78c,4686
61,#b37b5e,4277
61,#836f5e,3439
61,#4a2527,3209
61,#3a3735,7812
61,#332929,6106
61,#2b2728,7051
61,#222124,8667
61,#171316,6873
61,#74483d,3775
61,#4c423a,5563
4,#d4d7d2,5881
4,#d0cbc6,8999
4,#8c7b5c,6155
4,#756348,4016
4,#5b5542,3842
4,#4e4535,4405
4,#131d1c,6859
4,#dfe4dc,3983
4,#d2b29f,6647
4,#a39c87,5483
4,#413a2d,4596
4,#372c20,4670
10,#cfa36f,3985
10,#b6835a,5865
10,#2f2126,5441
10,#201920,6941
10,#1e1117,3883
10,#0b070e,4372
10,#7b4e3e,5331
10,#492829,5211
10,#161017,6685
10,#120e15,5508
10,#0f0c13,6843
10,#0d0a10,5471
55,#d6b38f,2521
55,#bd8565,5042
55,#b8714e,4054
55,#a6938e,6768
55,#7c614e,4534
55,#38251c,6828
55,#1e1716,7895
55,#c19479,2748
55,#b99e91,5108
55,#62402d,6079
55,#46382f,5277
55,#110a0b,8682
15,#1c1b19,4848
15,#171715,5613
15,#121513,5587
15,#dbe6dc,4676
15,#a7a68f,4886
15,#504a3a,4840
15,#24241f,8381
15,#20201d,5746
15,#1d1e1b,5359
15,#1a1a17,5462
15,#101210,4922
15,#0b0e0d,5216
16,#f6e7b4,3508
16,#c7af89,4112
16,#9d937b,6023
16,#957d5f,5204
16,#7a694e,4769
16,#f1dea7,7031
16,#e3d09d,5364
16,#cfbc92,5575
16,#b7aa8a,7668
16,#b49c7c,4284
16,#a9987d,5135
16,#3b241a,6863
25,#a5cbe2,4029
25,#593923,5709
25,#333325,5276
25,#251d15,5420
25,#111511,5007
25,#0d0d0c,6105
25,#080708,6886
25,#d7ded4,3691
25,#a1bcce,4337
25,#8ba8be,3810
25,#88bae5,8812
25,#6a583e,6454
31,#cfc1ad,3316
31,#cca770,4866
31,#abb1b7,7237
31,#8d754a,5048
31,#eae0d3,3848
31,#e0d6cb,5884
31,#d5cec5,7921
31,#b5925b,5119
31,#a88043,4837
31,#7e5a28,5515
31,#624c27,5049
31,#3c260e,6896
35,#88876c,2015
35,#2b2313,5674
35,#eefce5,4338
35,#e1f6e9,5074
35,#cfe0df,6254
35,#bccadb,5904
35,#3d381a,7390
35,#201e13,4904
35,#191a11,4262
35,#16160f,4940
35,#13120c,6877
35,#0d0e09,7904
38,#d5cfbf,4624
38,#b0a180,3820
38,#41332a,3431
38,#251918,6485
38,#201313,6531
38,#170b0a,6051
38,#7a6046,3876
38,#30201e,5306
38,#2a1c1a,5364
38,#241413,5452
38,#1e1211,6457
38,#1b100f,8139
56,#dfbb8d,2805
56,#d7a97a,7222
56,#cc7b57,5362
56,#c3976e,5553
56,#af7b5b,5004
56,#8a715a,6383
56,#88594d,4511
56,#66554e,5425
56,#4a4347,4206
56,#423340,6320
56,#312137,6264
56,#6b4045,6481
60,#caaf83,3693
60,#ae8d5b,4819
60,#9e7745,4141
60,#81572d,7362
60,#582713,6046
60,#50190b,3803
60,#211716,3982
60,#190f10,5516
60,#8c6e43,5465
60,#5e3e24,5808
60,#371a11,8196
60,#130809,6705
8,#a1b3ce,3800
8,#9d8d85,3931
8,#828583,3072
8,#6d8db3,4030
8,#181b2c,6675
8,#c5c6cc,5071
8,#8aa6cd,10773
8,#776860,6682
8,#60484c,3725
8,#5a6257,6159
8,#394448,5835
8,#2d323c,5783
13,#ece3d6,4166
13,#804d22,4248
13,#4e371c,6697
13,#100907,4311
13,#010102,10236
13,#c9b499,4377
13,#ab864e,6551
13,#8f6836,5872
13,#2b160b,5191
13,#040405,4773
13,#000001,6196
13,#040002,2918
46,#d3c3b0,3895
46,#a28573,4533
46,#653b29,3540
46,#47372b,6693
46,#3a251b,5921
46,#251f17,8724
46,#17130e,5917
46,#0f0b08,6588
46,#965c47,3875
46,#525043,4186
46,#383429,7079
46,#1b1a14,4585
53,#8c5944,3180
53,#442f31,7219
53,#2c2126,8384
53,#1f151a,4812
53,#171318,6597
53,#dea87e,4734
53,#3e2426,2994
53,#211e22,5902
53,#131016,5756
53,#100e13,5340
53,#0e0c10,5429
53,#0b080c,5189
7,#d3cfc6,3908
7,#c3c1bc,6378
7,#adaba3,5876
7,#776b45,4854
7,#3b452a,6030
7,#11150e,4902
7,#857e5e,4758
7,#5e6043,6198
7,#545034,5383
7,#484c32,5396
7,#373827,4831
7,#2b3221,7022
17,#a78f55,4838
17,#8b7945,7298
17,#846b38,4153
17,#76673a,6971
17,#665f38,5709
17,#5a492a,4587
17,#392f22,6220
17,#222721,4330
17,#171716,5320
17,#d7c289,3512
17,#41422f,5515
17,#08060a,7083
18,#b9bfb8,5482
18,#a5a59c,6164
18,#9f9182,5891
18,#182b31,3278
18,#161d1f,7863
18,#d9dad1,3740
18,#928073,4731
18,#6f7268,5883
18,#535451,5815
18,#423e3b,4041
18,#293235,5883
18,#0e1214,6765
20,#7c4b49,4588
20,#744546,6467
20,#704b4a,5730
20,#674345,6552
20,#55373e,6452
20,#3c2b36,4814
20,#302530,6819
20,#a36e5e,2589
20,#7d504d,6491
20,#693c41,4333
20,#603a3f,6124
20,#44323b,4577
23,#bfc1dc,4503
23,#b7afbf,3053
23,#a6b9e5,6324
23,#7e6d56,4749
23,#5a5344,6910
23,#d0cee0,3442
23,#bebad2,3945
23,#a1aed8,4839
23,#8e94ac,2245
23,#88a8e3,8749
23,#3f3429,9777
23,#1f1414,7000
28,#d4d9c9,3372
28,#a59363,9337
28,#9fada4,3639
28,#847149,5424
28,#7d8b76,5898
28,#6d6d4f,4267
28,#5d6342,5783
28,#bdc8c0,5372
