artist,year,color,paint_id,artwork_name,artwork_url
Bazille,1850,#ad886e,5,Man with a Pipe,https://uploads2.wikiart.org/images/Bazille-Bazille/man-with-a-pipe.jpg
Bazille,1850,#a48d3f,11,Grape Picker in a Cap,https://uploads6.wikiart.org/images/Bazille-Bazille/not-detected-259699.jpg
Bazille,1850,#7a5346,19,Dried Fish,https://uploads6.wikiart.org/images/Bazille-Bazille/dried-fish.jpg
Bazille,1850,#e0dccb,26,Manet and His Easel,https://uploads6.wikiart.org/images/Bazille-Bazille/manet-and-his-easel.jpg
Bazille,1850,#e7d3a2,29,Grape Picker in a Yellow Hat,https://uploads6.wikiart.org/images/Bazille-Bazille/not-detected-259700.jpg
Bazille,1850,#0c0a09,33,Self-Portrait,https://uploads2.wikiart.org/images/Bazille-Bazille/self-portrait-1.jpg
Bazille,1850,#251609,41,Saint-Saveur,https://uploads8.wikiart.org/images/Bazille-Bazille/saint-saveur.jpg
Bazille,1850,#733d15,42,Grape Picker in a Cap I,https://uploads6.wikiart.org/images/Bazille-Bazille/not-detected-259698.jpg
Bazille,1850,#cba98f,54,Soup Bowl Covers,https://uploads3.wikiart.org/images/Bazille-Bazille/soup-bowl-covers.jpg
Bazille,1850,#222124,61,Reclining Nude,https://uploads1.wikiart.org/images/Bazille-Bazille/reclining-nude.jpg
Bazille,1864,#d0cbc6,4,girl in a pink dress,http://www.wga.hu/art/b/Bazille/01pink.jpg
Bazille,1864,#201920,10,The Dog Rita Asleep,https://uploads6.wikiart.org/images/Bazille-Bazille/the-dog-rita-asleep.jpg
Bazille,1864,#110a0b,55,The Pink Dress,https://uploads1.wikiart.org/images/Bazille-Bazille/the-pink-dress.jpg
Bazille,1865,#24241f,15,self-portrait with palette,http://www.wga.hu/art/b/Bazille/02selfpo.jpg
Bazille,1865,#b7aa8a,16,Beach at Sainte-Adresse,https://uploads1.wikiart.org/images/Bazille-Bazille/beach-at-sainte-adresse.jpg
Bazille,1865,#88bae5,25,Landscape at Chailly,https://uploads7.wikiart.org/images/Bazille-Bazille/landscape-at-chailly.jpg
Bazille,1865,#d5cec5,31,Village Street,https://uploads1.wikiart.org/images/Bazille-Bazille/village-street.jpg
Bazille,1865,#0d0e09,35,Forest of Fontainebleau,https://uploads1.wikiart.org/images/Bazille-Bazille/forest-of-fontainebleau.jpg
Bazille,1865,#1b100f,38,Self-Portrait,https://uploads5.wikiart.org/images/Bazille-Bazille/self-portrait-1866.jpg
Bazille,1865,#d7a97a,56,Studio in the rue de Furstenberg,https://uploads1.wikiart.org/images/Bazille-Bazille/studio-in-the-rue-de-furstenberg.jpg
Bazille,1865,#371a11,60,The Improvised Field-Hospital,https://uploads3.wikiart.org/images/Bazille-Bazille/the-improvised-field-hospital-1865.jpg
Bazille,1866,#8aa6cd,8,The Little Gardener,https://uploads6.wikiart.org/images/Bazille-Bazille/the-little-gardener.jpg
Bazille,1866,#010102,13,Still Life with Fish,https://uploads7.wikiart.org/images/Bazille-Bazille/still-life-with-fish.jpg
Bazille,1866,#251f17,46,Study of Flowers,https://uploads3.wikiart.org/images/Bazille-Bazille/study-of-flowers.jpg
Bazille,1866,#2c2126,53,Portrait of &#201;douard Blau,https://uploads1.wikiart.org/images/Bazille-Bazille/portrait-of-douard-blau.jpg
Bazille,1867,#2b3221,7,porte de la reine at aigues-mortes,https://images.metmuseum.org/CRDImages/ep/original/DT5966.jpg
Bazille,1867,#8b7945,17,Studio of The Rue Visconti,https://uploads4.wikiart.org/images/Bazille-Bazille/studio-of-the-rue-visconti.jpg
Bazille,1867,#161d1f,18,family gathering,http://www.wga.hu/art/b/Bazille/05family.jpg
Bazille,1867,#302530,20,Self-Portrait,https://uploads5.wikiart.org/images/Bazille-Bazille/self-portrait-1868.jpg
Bazille,1867,#3f3429,23,Landscape of Aigues-Mortes,https://uploads0.wikiart.org/images/Bazille-Bazille/landscape-of-aigues-mortes-1867.jpg
Bazille,1867,#a59363,28,Family Reunion,https://uploads6.wikiart.org/images/Bazille-Bazille/family-reunion-1867.jpg
Bazille,1867,#a2c4fa,34,Mall of Aigues-Mortes,https://uploads8.wikiart.org/images/Bazille-Bazille/mall-of-aigues-mortes.jpg
Bazille,1867,#2e1a11,36,The Heron,https://uploads5.wikiart.org/images/Bazille-Bazille/the-heron.jpg
Bazille,1867,#91847b,43,portrait of auguste renoir,http://www.wga.hu/art/b/Bazille/03renoir.jpg
Bazille,1867,#1d201b,45,the terrace at mric (oleander),http://www.wga.hu/art/b/Bazille/04meric.jpg
Bazille,1867,#130c15,47,The Terrace at M&#233;ric (Oleander),https://uploads7.wikiart.org/images/Bazille-Bazille/the-terrace-at-m-ric-oleander.jpg
Bazille,1867,#3a311f,52,Port of the Queen at Aigues-Mortes,https://uploads3.wikiart.org/images/Bazille-Bazille/port-of-the-queen-at-aigues-mortes.jpg
Bazille,1867,#858976,57,Portrait of Auguste Renoir,https://uploads0.wikiart.org/images/Bazille-Bazille/portrait-of-auguste-renoir-1867.jpg
Bazille,1868,#1b2924,12,view of the village,http://www.wga.hu/art/b/Bazille/06villag.jpg
