artist,year,color,count
Bazille,1850,#ad886e,10
Bazille,1851,#345675,0
Bazille,1852,#345675,0
Bazille,1853,#345675,0
Bazille,1854,#345675,0
Bazille,1855,#345675,0
Bazille,1856,#345675,0
Bazille,1857,#345675,0
Bazille,1858,#345675,0
Bazille,1859,#345675,0
Bazille,1860,#345675,0
Bazille,1861,#345675,0
Bazille,1862,#345675,0
Bazille,1863,#345675,0
Bazille,1864,#d0cbc6,3
Bazille,1865,#24241f,7
Bazille,1866,#8aa6cd,4
Bazille,1867,#2b3221,12
Bazille,1868,#1b2924,7
Bazille,1869,#5d6672,7
Bazille,1870,#a49177,8
Caillebotte,1850,#282723,1
Caillebotte,1851,#345675,0
Caillebotte,1852,#345675,0
Caillebotte,1853,#345675,0
Caillebotte,1854,#345675,0
Caillebotte,1855,#345675,0
Caillebotte,1856,#345675,0
Caillebotte,1857,#345675,0
Caillebotte,1858,#345675,0
Caillebotte,1859,#345675,0
Caillebotte,1860,#345675,0
Caillebotte,1861,#345675,0
Caillebotte,1862,#345675,0
Caillebotte,1863,#345675,0
Caillebotte,1864,#345675,0
Caillebotte,1865,#345675,0
Caillebotte,1866,#345675,0
Caillebotte,1867,#345675,0
Caillebotte,1868,#345675,0
Caillebotte,1869,#345675,0
Caillebotte,1870,#3b3422,1
Caillebotte,1871,#1c0f12,19
Caillebotte,1872,#323538,4
Caillebotte,1873,#3b3d42,3
Caillebotte,1874,#a47f5a,7
Caillebotte,1875,#555762,12
Caillebotte,1876,#241f3e,11
Caillebotte,1877,#4a4638,27
Caillebotte,1878,#9294a3,22
Caillebotte,1879,#150d11,5
Caillebotte,1880,#926d59,20
Caillebotte,1881,#38464c,8
Caillebotte,1882,#1b0e14,17
Caillebotte,1883,#282f31,9
Caillebotte,1884,#1b1714,13
Caillebotte,1885,#3a402f,8
Caillebotte,1886,#334c5d,3
Caillebotte,1887,#806d5a,3
Caillebotte,1888,#190a09,9
Caillebotte,1889,#aab8b8,2
Caillebotte,1890,#394343,5
Caillebotte,1891,#8ca1aa,2
Caillebotte,1892,#9ba4b2,10
Caillebotte,1893,#130d0e,8
Caillebotte,1894,#75613e,1
Cassatt,1868,#371e1b,1
Cassatt,1869,#765c2f,1
Cassatt,1870,#345675,0
Cassatt,1871,#53301b,1
Cassatt,1872,#12090f,6
Cassatt,1873,#2f1417,10
Cassatt,1874,#291517,3
Cassatt,1875,#8e2f1e,3
Cassatt,1876,#13060c,2
Cassatt,1877,#110a0f,3
Cassatt,1878,#316e8b,10
Cassatt,1879,#625537,10
Cassatt,1880,#b6a457,31
Cassatt,1881,#4f714d,8
Cassatt,1882,#a59683,3
Cassatt,1883,#e4cba8,4
Cassatt,1884,#140f14,4
Cassatt,1885,#c4bcb7,4
Cassatt,1886,#7896b4,4
Cassatt,1887,#97574d,1
Cassatt,1888,#523021,1
Cassatt,1889,#645f5a,14
Cassatt,1890,#e1cdaf,22
Cassatt,1891,#3f181c,10
Cassatt,1892,#7e5d3d,4
Cassatt,1893,#667d3e,15
Cassatt,1894,#231d27,8
Cassatt,1895,#607b5a,6
Cassatt,1896,#678871,9
Cassatt,1897,#4d4439,11
Cassatt,1898,#6b6354,13
Cassatt,1899,#383724,4
Cassatt,1900,#bfc1ba,10
Cassatt,1901,#d2d6bf,15
Cassatt,1902,#dcc2ae,16
Cassatt,1903,#393542,6
Cassatt,1904,#cdbda4,1
Cassatt,1905,#d0b5a6,4
Cassatt,1906,#5f5b51,3
Cassatt,1907,#9d5337,1
Cassatt,1908,#b5a38f,16
Cassatt,1909,#b77c47,5
Cassatt,1910,#8ba6a2,5
Cassatt,1911,#7a767a,1
Cassatt,1912,#345675,0
Cassatt,1913,#84876e,4
Cassatt,1914,#34321c,4
Cassatt,1915,#345675,0
Cassatt,1916,#345675,0
Cassatt,1917,#345675,0
Cassatt,1918,#345675,0
Cassatt,1919,#345675,0
Cassatt,1920,#345675,0
Cassatt,1921,#345675,0
Cassatt,1922,#345675,0
Cassatt,1923,#e4d6bf,0
Cezanne,1850,#a5a294,4
Cezanne,1851,#345675,0
Cezanne,1852,#345675,0
Cezanne,1853,#345675,0
Cezanne,1854,#345675,0
Cezanne,1855,#dec3a5,1
Cezanne,1856,#345675,0
Cezanne,1857,#345675,0
Cezanne,1858,#345675,0
Cezanne,1859,#345675,0
Cezanne,1860,#111022,2
Cezanne,1861,#3b2b22,5
Cezanne,1862,#345675,0
Cezanne,1863,#59473e,1
Cezanne,1864,#232923,8
Cezanne,1865,#3c3b39,4
Cezanne,1866,#45512f,24
Cezanne,1867,#756655,22
Cezanne,1868,#12120e,7
Cezanne,1869,#0e0c0f,4
Cezanne,1870,#61472d,24
Cezanne,1871,#706c55,11
Cezanne,1872,#53473f,6
Cezanne,1873,#423520,14
Cezanne,1874,#b4aa91,7
Cezanne,1875,#476753,15
Cezanne,1876,#06150d,12
Cezanne,1877,#32342c,23
Cezanne,1878,#7b7a58,18
Cezanne,1879,#b6b6af,16
Cezanne,1880,#9d9f9b,34
Cezanne,1881,#131509,9
Cezanne,1882,#877855,20
Cezanne,1883,#e8bd84,5
Cezanne,1884,#590e0e,4
Cezanne,1885,#584530,31
Cezanne,1886,#918b7e,8
Cezanne,1887,#675649,25
Cezanne,1888,#f1e9c4,12
Cezanne,1889,#3c3a37,3
Cezanne,1890,#47748d,53
Cezanne,1891,#493c1c,6
Cezanne,1892,#727d61,10
Cezanne,1893,#1f1f1a,6
Cezanne,1894,#627260,22
Cezanne,1895,#d2cbb5,17
Cezanne,1896,#464851,7
Cezanne,1897,#200f03,4
Cezanne,1898,#edd4b8,14
Cezanne,1899,#5c5a4c,4
Cezanne,1900,#4b3934,26
Cezanne,1901,#345675,0
Cezanne,1902,#1d0917,14
Cezanne,1903,#dcd8c6,6
Cezanne,1904,#2c3d42,13
Cezanne,1905,#9bc3cc,10
Cezanne,1906,#7f867c,24
Cezanne,1907,#345675,0
Cezanne,1908,#345675,0
Cezanne,1909,#345675,0
Degas,1845,#d0bba7,1
Degas,1846,#345675,0
Degas,1847,#345675,0
Degas,1848,#345675,0
Degas,1849,#345675,0
Degas,1850,#c2c2c2,3
Degas,1851,#345675,0
Degas,1852,#345675,0
Degas,1853,#345675,0
Degas,1854,#8b7d65,5
Degas,1855,#312724,7
Degas,1856,#504536,7
Degas,1857,#877e6d,17
Degas,1858,#414248,6
Degas,1859,#90623b,8
Degas,1860,#814623,17
Degas,1861,#13140f,13
Degas,1862,#e7d6c7,5
Degas,1863,#06070b,6
Degas,1864,#1e1214,6
Degas,1865,#474348,26
Degas,1866,#201918,16
Degas,1867,#1a1815,9
Degas,1868,#220d11,14
Degas,1869,#bea784,30
Degas,1870,#9f8145,12
Degas,1871,#3d222a,14
Degas,1872,#765232,23
Degas,1873,#453023,30
Degas,1874,#211219,15
Degas,1875,#030101,17
Degas,1876,#685b59,31
Degas,1877,#534928,37
Degas,1878,#bf9b77,33
Degas,1879,#251610,53
Degas,1880,#c2ab85,42
Degas,1881,#835f38,12
Degas,1882,#bdcab0,24
Degas,1883,#291c1a,20
